paper_id,technology_name
https://openalex.org/W2029648951,Personalized Health Platforms
https://openalex.org/W4401545442,The Circular Economy
https://openalex.org/W2908631100,Biotechnologies
https://openalex.org/W4392750738,Multimodal Personal Agents
https://openalex.org/W3015901506,Machine Learning
https://openalex.org/W3021238137,Advanced Semiconductors and Microelectronics
https://openalex.org/W4396721167,Large Action Models
https://openalex.org/W2026973491,Generative Artificial Intelligence
https://openalex.org/W4405283870,Personalized Health Platforms
https://openalex.org/W48809960,Next-Generation Software Development
https://openalex.org/W4402690901,Digital Immune System
https://openalex.org/W1595502742,Wearable plant sensors
https://openalex.org/W4255564469,On-Demand Drug Manufacturing
https://openalex.org/W4395371383,Wearable plant sensors
https://openalex.org/W4403252750,Advanced Computing
https://openalex.org/W4395408849,Climate Technologies
https://openalex.org/W1650569836,Climate Technologies
https://openalex.org/W1571191814,Integrated Communication and Networking Technologies
https://openalex.org/W1566179750,Cloud Computing
https://openalex.org/W4200531859,Genomics for Transplants
https://openalex.org/W4403689548,Advanced Engineering Materials
https://openalex.org/W2130600976,Wearable plant sensors
https://openalex.org/W2744594409,Personalized Health Platforms
https://openalex.org/W76711023,Biotechnologies
https://openalex.org/W4392777592,AI-facilitated healthcare
https://openalex.org/W4395200472,Wearable plant sensors
https://openalex.org/W4395342342,Immersive-Reality Technologies
https://openalex.org/W4395594247,Digital Immune System
https://openalex.org/W1531368347,Advanced Computing
https://openalex.org/W4395669330,Self-Healing Energy Grids
https://openalex.org/W4395539974,Wearable plant sensors
https://openalex.org/W4394726321,Advanced and Networked Sensing and Signature Management
https://openalex.org/W4400948341,AI for Scientific Discorvery
https://openalex.org/W562070977,Advanced Engineering Materials
https://openalex.org/W4396583326,Human-Machine Interfaces
https://openalex.org/W4395010520,Superapps
https://openalex.org/W2961193161,Wearable plant sensors
https://openalex.org/W4395390325,Wearable plant sensors
https://openalex.org/W4399809023,Wearable plant sensors
https://openalex.org/W4392622986,Digital Immune System
https://openalex.org/W4398182172,Digital Immune System
https://openalex.org/W4399896625,Advanced Manufacturing
https://openalex.org/W4399808102,Digital Immune System
https://openalex.org/W4399810586,Personalized Health Platforms
https://openalex.org/W4399652560,Large Action Models
https://openalex.org/W4395585951,Wearable plant sensors
https://openalex.org/W4396874809,Personalized Health Platforms
https://openalex.org/W1536538149,Digital Immune System
https://openalex.org/W4403868128,Integrated Communication and Networking Technologies
https://openalex.org/W4395226145,Digital Immune System
https://openalex.org/W4229933927,Biotechnologies
https://openalex.org/W4391649568,Biotechnologies
https://openalex.org/W4401377280,Digital Immune System
https://openalex.org/W2222702172,Digital Immune System
https://openalex.org/W4394894573,Climate Technologies
https://openalex.org/W4205691162,Quantum Technologies
https://openalex.org/W4400087626,Digital Immune System
https://openalex.org/W2129537735,Alternative Livestock Feeds
https://openalex.org/W1973826788,Integrated Communication and Networking Technologies
https://openalex.org/W4395438975,Digital Immune System
https://openalex.org/W4396831394,Advanced Computing
https://openalex.org/W4393183306,Self-Healing Energy Grids
https://openalex.org/W1712757310,Digital Immune System
https://openalex.org/W4392306314,Advanced Engineering Materials
https://openalex.org/W147792004,AI for Scientific Discorvery
https://openalex.org/W4404692726,Digital Immune System
https://openalex.org/W4205226293,Self-Fertilizing Crops
https://openalex.org/W4395488713,Advanced and Networked Sensing and Signature Management
https://openalex.org/W4393263880,Digital Immune System
https://openalex.org/W1539911878,Biotechnologies
https://openalex.org/W2109413851,Advanced and Networked Sensing and Signature Management
https://openalex.org/W1484272304,Advanced Engineering Materials
https://openalex.org/W4207062214,AI for Scientific Discorvery
https://openalex.org/W4213024862,Self-Fertilizing Crops
https://openalex.org/W4396725743,Advanced Engineering Materials
https://openalex.org/W4392562160,Digital Immune System
https://openalex.org/W4400445037,Digital Immune System
https://openalex.org/W4391169031,Personalized Health Platforms
https://openalex.org/W4394956715,Machine Learning
https://openalex.org/W4390545247,"Highly Automated, Autonomous, and Uncrewed Systems (UxS), and Robotics"
https://openalex.org/W2911361414,Advanced Computing
https://openalex.org/W2035237805,The Circular Economy
https://openalex.org/W4395519122,Wearable plant sensors
https://openalex.org/W1521128975,Alternative Livestock Feeds
https://openalex.org/W4395317764,Wearable plant sensors
https://openalex.org/W1508194135,Personalized Health Platforms
https://openalex.org/W4403770406,AI-Driven Diagnostics
https://openalex.org/W4399083018,Machine Learning
https://openalex.org/W4399083018,Generative Artificial Intelligence
https://openalex.org/W1524788453,Applied AI
https://openalex.org/W4395582956,Digital Immune System
https://openalex.org/W2003494253,Advanced Computing
https://openalex.org/W4401226312,Green Ammonia
https://openalex.org/W4400896559,Advanced Manufacturing
https://openalex.org/W4400928626,Advanced Manufacturing
https://openalex.org/W4392159830,Machine Learning
https://openalex.org/W4400591407,Climate Technologies
https://openalex.org/W4396834099,Engineering Better Aging
https://openalex.org/W4401122848,Sustainable aviation fuel
https://openalex.org/W4401146808,On-Demand Drug Manufacturing
https://openalex.org/W4400217631,AI for Scientific Discorvery
https://openalex.org/W4401287805,Disinformation Security
https://openalex.org/W4400361567,On-Demand Drug Manufacturing
https://openalex.org/W4399900763,Wearable plant sensors
https://openalex.org/W4400988476,Machine Learning
https://openalex.org/W4400588278,Digital Immune System
https://openalex.org/W4399685394,Advanced Semiconductors and Microelectronics
https://openalex.org/W4400833987,Digital Immune System
https://openalex.org/W4400837307,Advanced Manufacturing
https://openalex.org/W4396800642,Advanced Engineering Materials
https://openalex.org/W4391602018,Generative Artificial Intelligence
https://openalex.org/W4403424371,Digital Immune System
https://openalex.org/W2188632414,Climate Technologies
https://openalex.org/W4396228980,Digital Immune System
https://openalex.org/W4395492310,Wearable plant sensors
https://openalex.org/W4394785938,Climate Technologies
https://openalex.org/W2142040044,Advanced Semiconductors and Microelectronics
https://openalex.org/W4395307930,Wearable plant sensors
https://openalex.org/W4403939428,Spaced Based Connectivity
https://openalex.org/W4399114252,Generative Artificial Intelligence
https://openalex.org/W4395604123,Digital Immune System
https://openalex.org/W2990177142,Advanced Engineering Materials
https://openalex.org/W4395639093,Wearable plant sensors
https://openalex.org/W4399714287,Advanced and Networked Sensing and Signature Management
https://openalex.org/W2291445757,Machine Learning
https://openalex.org/W2141312052,AI Copilots
https://openalex.org/W4395383960,Wearable plant sensors
https://openalex.org/W4399407564,Self-Healing Energy Grids
https://openalex.org/W88864901,Generative Artificial Intelligence
https://openalex.org/W4393858312,Climate Technologies
https://openalex.org/W4395554300,Digital Immune System
https://openalex.org/W2997047671,Next-Generation Software Development
https://openalex.org/W1527911134,Advanced Engineering Materials
https://openalex.org/W4395217604,Wearable plant sensors
https://openalex.org/W4251609852,Advanced Engineering Materials
https://openalex.org/W4391109864,AI-facilitated healthcare
https://openalex.org/W4396946025,Digital Immune System
https://openalex.org/W4391136507,AI for Scientific Discorvery
https://openalex.org/W4395655304,Spatial Computing 
https://openalex.org/W1505620647,Biotechnologies
https://openalex.org/W1797125039,Wearable plant sensors
https://openalex.org/W4401211033,Quantum Technologies
https://openalex.org/W4395287368,Digital Immune System
https://openalex.org/W4395208513,Digital Immune System
https://openalex.org/W4393020831,Digital Immune System
https://openalex.org/W2769533150,Cloud Computing
https://openalex.org/W4403999349,Applied AI
https://openalex.org/W4392304105,Next-Generation Software Development
https://openalex.org/W4396560090,Personalized Health Platforms
https://openalex.org/W4401917994,3D-Printed Houses Using Local Materials
https://openalex.org/W4401666902,Cybersecurity
https://openalex.org/W4402061574,Generative Artificial Intelligence
https://openalex.org/W4400827986,Alternative Livestock Feeds
https://openalex.org/W4401552709,Cloud Computing
https://openalex.org/W4400929582,Alternative Livestock Feeds
https://openalex.org/W4401029690,Personalized Health Platforms
https://openalex.org/W4400459768,Advanced Engineering Materials
https://openalex.org/W4396771941,3D-Printed Houses Using Local Materials
https://openalex.org/W4402232563,Advanced Engineering Materials
https://openalex.org/W4401974787,Digital Immune System
https://openalex.org/W4401164724,Personalized Health Platforms
https://openalex.org/W4395344739,Advanced and Networked Sensing and Signature Management
https://openalex.org/W4393041264,Large Action Models
https://openalex.org/W4400906565,Reinforcement Learning
https://openalex.org/W4395383260,Wearable plant sensors
https://openalex.org/W4395413572,Wearable plant sensors
https://openalex.org/W4396670389,Next-Generation Software Development
https://openalex.org/W4395623816,Wearable plant sensors
https://openalex.org/W4402754006,Advanced Semiconductors and Microelectronics
https://openalex.org/W4395359776,The IoT
https://openalex.org/W4400907212,Advanced Manufacturing
https://openalex.org/W4395203920,Digital Immune System
https://openalex.org/W4399916542,AI for Scientific Discorvery
https://openalex.org/W4403159200,Cloud Computing
https://openalex.org/W4248107455,Wearable plant sensors
https://openalex.org/W4250406710,Genomics for Transplants
https://openalex.org/W4395164344,Digital Immune System
https://openalex.org/W4200519416,Digital Immune System
https://openalex.org/W1561249631,Advanced Engineering Materials
https://openalex.org/W4395418644,Wearable plant sensors
https://openalex.org/W4395653157,Advanced and Networked Sensing and Signature Management
https://openalex.org/W4401916766,Quantum Technologies
https://openalex.org/W4404817908,Climate Technologies
https://openalex.org/W4401504684,Advanced and Networked Sensing and Signature Management
https://openalex.org/W4395119007,Wearable plant sensors
https://openalex.org/W4244836331,Quantum Technologies
https://openalex.org/W4400089962,Engineering Better Aging
https://openalex.org/W4213172209,Personalized Health Platforms
https://openalex.org/W4402064302,AI-Driven Diagnostics
https://openalex.org/W2986574354,Climate Technologies
https://openalex.org/W4392832248,Self-Fertilizing Crops
https://openalex.org/W4395438199,Digital Immune System
https://openalex.org/W3204393433,Advanced Engineering Materials
https://openalex.org/W4403869072,Advanced Engineering Materials
https://openalex.org/W4200220798,Climate Technologies
https://openalex.org/W4402062995,Living Manufacturing
https://openalex.org/W4399141561,Advanced Semiconductors and Microelectronics
https://openalex.org/W4392963387,Digital Immune System
https://openalex.org/W4394728226,Advanced Semiconductors and Microelectronics
https://openalex.org/W1513145215,Integrated Communication and Networking Technologies
https://openalex.org/W4392791500,Digital Immune System
https://openalex.org/W1560082457,Machine Learning
https://openalex.org/W4399426680,Future of Space Technologies
https://openalex.org/W4395194688,Digital Immune System
https://openalex.org/W4398233154,Advanced Semiconductors and Microelectronics
https://openalex.org/W4403119640,Genomics for Transplants
https://openalex.org/W4395393071,Wearable plant sensors
https://openalex.org/W4402557213,Applied AI
https://openalex.org/W4402049769,AI-Driven Diagnostics
https://openalex.org/W4403175460,Next-Generation Software Development
https://openalex.org/W4395265821,Climate Technologies
https://openalex.org/W4395285768,Digital Immune System
https://openalex.org/W4391891557,Personalized Health Platforms
https://openalex.org/W4395360999,Wearable plant sensors
https://openalex.org/W4394578957,High-Altitude Platform Stations
https://openalex.org/W4395658126,Biotechnologies
https://openalex.org/W4398781461,Advanced and Networked Sensing and Signature Management
https://openalex.org/W2599499292,Advanced Engineering Materials
https://openalex.org/W2083507833,Immersive-Reality Technologies
https://openalex.org/W3196836501,Advanced Semiconductors and Microelectronics
https://openalex.org/W1938153123,Advanced Engineering Materials
https://openalex.org/W2460119131,Advanced Semiconductors and Microelectronics
https://openalex.org/W4392343318,Digital Immune System
https://openalex.org/W4392590281,Personalized Health Platforms
https://openalex.org/W4399360124,Climate Technologies
https://openalex.org/W4404140014,Digital Immune System
https://openalex.org/W4392909747,Cloud Computing
https://openalex.org/W4400026919,Cybersecurity Mesh Architecture
https://openalex.org/W1569630469,Wearable plant sensors
https://openalex.org/W4392664198,Advanced Engineering Materials
https://openalex.org/W4395420690,Wearable plant sensors
https://openalex.org/W4395643941,Climate Technologies
https://openalex.org/W4390519207,Advanced Semiconductors and Microelectronics
https://openalex.org/W4391247352,Climate Technologies
https://openalex.org/W4395595496,Digital Immune System
https://openalex.org/W4395180023,Wearable plant sensors
https://openalex.org/W4395332831,Wearable plant sensors
https://openalex.org/W4390520030,Advanced Semiconductors and Microelectronics
https://openalex.org/W216934668,Advanced Semiconductors and Microelectronics
https://openalex.org/W4390521069,Advanced Semiconductors and Microelectronics
https://openalex.org/W4395535826,Wearable plant sensors
https://openalex.org/W4401892658,Advanced Engineering Materials
https://openalex.org/W636633373,Large Action Models
https://openalex.org/W4395316641,Digital Immune System
https://openalex.org/W1585962948,Engineering Better Aging
https://openalex.org/W4399074339,Next-Generation Software Development
https://openalex.org/W2287213645,Wearable plant sensors
https://openalex.org/W1487422198,Spaced Based Connectivity
https://openalex.org/W4395434350,Wearable plant sensors
https://openalex.org/W4390482881,Advanced Semiconductors and Microelectronics
https://openalex.org/W4239792181,Alternative Livestock Feeds
https://openalex.org/W4206699732,Advanced Engineering Materials
