Technology Name,Source
Advanced Computing,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Advanced Engineering Materials,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Advanced Gas Turbine Engine Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Advanced and Networked Sensing and Signature Management,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Advanced Manufacturing,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Artificial Intelligence,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Biotechnologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Clean Energy Generation and Storage,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
"Data Privacy, Data Security, and Cybersecurity Technologies",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Directed Energy,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
"Highly Automated, Autonomous, and Uncrewed Systems (UxS), and Robotics",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Human-Machine Interfaces,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Hypersonics,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Integrated Communication and Networking Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
"Positioning, Navigation, and Timing (PNT) Technologies",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Quantum Information and Enabling Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Semiconductors and Microelectronics,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Space Technologies and Systems,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf)
Low-Code And No-Code Platforms,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
The Metaverse,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Self-Healing Energy Grids,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Living Manufacturing,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
The Circular Economy,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
AR Smart Glasses,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
The IoT,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Quantum Computing,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Implantable Microchips,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Personalized Health Platforms,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Blockchain,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
GenAI-Powered Healthcare Admin,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
GenUI,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Auracast,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Quantum Machine Learning,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
LEO Satellite Networks,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Multimodal Personal Agents,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
AI-Driven Diagnostics,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
Solid-State Batteries,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
AI Copilots,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/)
6G,Gartner Hype Cycle 2024
AI Augmented Software Engineering,Gartner Hype Cycle 2024
AI TRiSM,Gartner Hype Cycle 2024
Autonomous Agents,Gartner Hype Cycle 2024
cloud-native,Gartner Hype Cycle 2024
Cybersecurity Mesh Architecture,Gartner Hype Cycle 2024
Digital Immune System,Gartner Hype Cycle 2024
Digital Twin of a Customer,Gartner Hype Cycle 2024
Disinformation Security,Gartner Hype Cycle 2024
Federated Machine Learning,Gartner Hype Cycle 2024
GitOps,Gartner Hype Cycle 2024
Homomorphic Encryption,Gartner Hype Cycle 2024
Humanoid Working Robots,Gartner Hype Cycle 2024
Internal Developer Portals,Gartner Hype Cycle 2024
Large Action Models,Gartner Hype Cycle 2024
Machine Customers,Gartner Hype Cycle 2024
Multiagent Systems,Gartner Hype Cycle 2024
Prompt Engineering,Gartner Hype Cycle 2024
Reinforcement Learning,Gartner Hype Cycle 2024
Spatial Computing,Gartner Hype Cycle 2024
Superapps,Gartner Hype Cycle 2024
WebAssembly,Gartner Hype Cycle 2024
Cloud and Edge Computing,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Advanced Connectivity,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Generative AI,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Applied AI,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Next-Generation Software Development,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Digital Trust and Cybersecurity,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Electrification and Renewables,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Industrializing Machine Learning,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Future of Mobility,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Climate Technologies Beyond Electrification,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Immersive-Reality Technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Future of Bioengineering,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Future of Robotics,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
Quantum technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech)
